Brand,Store Name,Address,City,State,Zipcode,Phone,Latitude,Longitude
McDonald's,McDonald's - League City,I-45 At Fm 646,League City,TX,77573,(281) 614-1968,29.466389,-95.087924
McDonald's,McDonald's - Huntington Park,2303 E Florence Ave,Huntington Park,CA,90255-5620,(323) 587-2449,33.975014,-118.231201
McDonald's,McDonald's - Lynnwood,14923 Hwy 99,Lynnwood,WA,98037-2315,(425) 743-3560,47.862703,-122.282586
McDonald's,McDonald's - Mission,804 S Shary Rd,Mission,TX,78572,(956) 583-2790,26.194476,-98.289113
McDonald's,McDonald's - Gadsden,101 Enterprise Drive,Gadsden,AL,35904,(256) 538-7580,33.997605,-86.09301
McDonald's,McDonald's - Medina,822 Hwy 55,Medina,MN,55340,(763) 478-2734,45.047102,-93.54308
McDonald's,McDonald's - Elgin,1165 N Mclean Blvd,Elgin,IL,60123,(847) 741-9090,42.061167,-88.314983
McDonald's,McDonald's - Eden Prairie,598 Prairie Center Dr,Eden Prairie,MN,55344-7917,(952) 943-8870,44.853519,-93.429887
McDonald's,McDonald's - Vestal,3136 Vestal Pky E,Vestal,NY,13850,(607) 798-7712,42.095181,-76.001091
McDonald's,McDonald's - Brockton,908 N Montello St,Brockton,MA,2301,(508) 588-9920,42.107845,-71.024803
McDonald's,McDonald's - Marina,267 Reservation Rd,Marina,CA,93933-3185,(831) 384-9004,36.685592,-121.794555
McDonald's,McDonald's - Indianapolis,6830 W 38th St,Indianapolis,IN,46254-3910,(317) 291-5600,39.824029,-86.280539
McDonald's,McDonald's - Baton Rouge,6910 Airline Hwy,Baton Rouge,LA,70805-4707,(225) 356-9328,30.488163,-91.121706
McDonald's,McDonald's - Memphis,5084 Summer Ave,Memphis,TN,38122-4408,(901) 682-8996,35.151328,-89.891472
McDonald's,McDonald's - Sabraton,1820 Sturges St,Sabraton,WV,26505,(304) 296-0508,39.622293,-79.923281
McDonald's,McDonald's - Lugoff,906 Hwy 1 S,Lugoff,SC,29078,(803) 438-6666,34.226513,-80.67901
McDonald's,McDonald's - Cottonwood,1129 Hwy 260,Cottonwood,AZ,86326,(928) 634-9622,34.719472,-112.001072
McDonald's,McDonald's - Union Gap,2326 S 1st St,Union Gap,WA,98903,(509) 248-4335,46.567401,-120.485124
McDonald's,McDonald's - Reno,735 S Meadows Pky,Reno,NV,89521,(775) 852-8088,39.439637,-119.756939
McDonald's,McDonald's - Youngstown,691 Mccartney Rd,Youngstown,OH,44505-5016,(330) 747-6474,41.090013,-80.590319
McDonald's,McDonald's - Cedar Park,1410 Cypress Creek Rd,Cedar Park,TX,78613,(512) 336-1999,30.482634,-97.831358
McDonald's,McDonald's - Corpus Christi,4031 Saratoga Blvd,Corpus Christi,TX,78415,(361) 855-0876,27.698509,-97.411427
McDonald's,McDonald's - Martinez,381 Fury'S Ferry Road,Martinez,GA,30907,(706) 860-0644,33.528822,-82.073215
McDonald's,McDonald's - Dayton,3918 Free Pike,Dayton,OH,45416-1212,(937) 278-1707,39.797639,-84.253246
McDonald's,McDonald's - Minneapolis,1100 University Ave Ne,Minneapolis,MN,55413-1222,(612) 379-4334,44.999115,-93.263824
McDonald's,McDonald's - White Sulphur Springs,38045 Midland Trail E,White Sulphur Springs,WV,24931,(304) 536-9353,37.773015,-80.355424
McDonald's,McDonald's - Chehalis,120 Kirkland Rd,Chehalis,WA,98532-8724,(360) 748-6922,46.604819,-122.904252
McDonald's,McDonald's - Toledo,1205 W Sylvania Ave,Toledo,OH,43612-1705,(419) 476-8946,41.692222,-83.570006
McDonald's,McDonald's - Oak Park,26160 Greenfield Rd,Oak Park,MI,48237,(248) 808-6756,42.483286,-83.20163
McDonald's,McDonald's - Anderson,2014 Scatterfield Rd,Anderson,IN,46013,(765) 649-4707,40.096637,-85.65171
McDonald's,McDonald's - Lenexa,15920 W 87th St Pky,Lenexa,KS,66215,(913) 599-4560,38.971499,-94.772752
McDonald's,McDonald's - Gilroy,8390 Arroyo Circle,Gilroy,CA,95020,(408) 847-5446,37.023616,-121.562484
McDonald's,McDonald's - Austin,1009 W Oakland Ave,Austin,MN,55912-2217,(507) 433-6030,43.666332,-92.986843
McDonald's,McDonald's - Hackensack,343 River St,Hackensack,NJ,7601,(201) 487-1347,40.888802,-74.039131
McDonald's,McDonald's - Corcoran,2003 Whitley Ave,Corcoran,CA,93212-2017,(559) 992-5833,36.097738,-119.572428
McDonald's,McDonald's - Corpus Christi,2021 Morgan Ave,Corpus Christi,TX,78405-1541,(361) 882-1411,27.777941,-97.412167
McDonald's,McDonald's - Jamaica,166-01 Baisley Boulevard,Jamaica,NY,11434,(718) 528-4219,40.680161,-73.77726
McDonald's,McDonald's - Royal Palm Beach,1400 Royal Palm Beach Boulevard,Royal Palm Beach,FL,33411,(561) 333-8866,26.709532,-80.228443
McDonald's,McDonald's - Middlesboro,3615 W Cumberland Ave,Middlesboro,KY,40965,(606) 248-5945,36.604739,-83.740488
McDonald's,McDonald's - Centreville,5633 Stone Rd,Centreville,VA,20120,(703) 815-0480,38.853195,-77.450062
McDonald's,McDonald's - Sarasota,6347 S Tamiami Trl,Sarasota,FL,34231,(941) 922-1064,27.261972,-82.52352
McDonald's,McDonald's - Cromwell,125 Berlin Rd,Cromwell,CT,6416,(860) 632-7260,41.604247,-72.707174
McDonald's,McDonald's - Clackamas,13470 Se Hwy 212,Clackamas,OR,97015,(503) 657-2855,45.409824,-122.525789
McDonald's,McDonald's - Gahanna,298 South Hamilton Road,Gahanna,OH,43230,(614) 475-2112,40.010647,-82.866626
McDonald's,McDonald's - Eureka,12 Hilltop Village Center Dr,Eureka,MO,63025-1185,(636) 938-7011,38.505955,-90.636354
McDonald's,McDonald's - Austin,2426 E Riverside,Austin,TX,78741-3035,(512) 444-9229,30.235731,-97.724067
McDonald's,McDonald's - Oldsmar,4085 Tampa Rd,Oldsmar,FL,34677,(813) 855-5016,28.035551,-82.652316
McDonald's,McDonald's - Hampstead,4225 Northwoods Trl,Hampstead,MD,21074,(443) 507-6666,39.595565,-76.845934
McDonald's,McDonald's - Brazil,907 E National Ave,Brazil,IN,47834-2705,(812) 448-1590,39.525736,-87.114756
McDonald's,McDonald's - Lake Bluff,28929 N Waukegan Rd,Lake Bluff,IL,60044,(847) 735-1088,42.281953,-87.879644
McDonald's,McDonald's - Yemassee,57 Frampton Dr,Yemassee,SC,29945,(843) 726-4766,32.633123,-80.876795
McDonald's,McDonald's - Rock Hill,1232 E Main St,Rock Hill,SC,29731,(803) 326-0550,34.914908,-81.003688
McDonald's,McDonald's - Tinley Park,15920 S Harlem,Tinley Park,IL,60477-1610,(708) 614-0843,41.601773,-87.795949
McDonald's,McDonald's - Edinburg,401 E Trenton,Edinburg,TX,78539,(956) 292-0161,26.26189,-98.168213
McDonald's,McDonald's - Bronx,86 E 167th St,Bronx,NY,10452,(718) 992-8642,40.835136,-73.919899
McDonald's,McDonald's - Katy,22148 Westheimer Pkwy,Katy,TX,77450,(281) 398-8400,29.734545,-95.753754
McDonald's,McDonald's - Hollywood,5530 S Sr 7,Hollywood,FL,33314,(954) 791-3852,26.052417,-80.206821
McDonald's,McDonald's - Lafayette,3201 Louisiana Ave,Lafayette,LA,70501,(337) 264-0479,30.264405,-91.993171
McDonald's,McDonald's - Wynantskill,65 Main Ave Rte 66,Wynantskill,NY,12198,(518) 283-2089,42.696889,-73.64686
McDonald's,McDonald's - Columbus,760 Bethel Rd,Columbus,OH,43214-1900,(614) 442-0033,40.06353,-83.039496
McDonald's,McDonald's - Leominster,302 N Main Street,Leominster,MA,1453,(978) 534-9762,42.542198,-71.760483
McDonald's,McDonald's - Tallahassee,3398 Capital Cir Ne,Tallahassee,FL,32308,(850) 385-1138,30.500051,-84.248093
McDonald's,McDonald's - Pinellas Park,5170 Park Blvd N,Pinellas Park,FL,33781-3414,(727) 544-7333,27.838784,-82.703379
McDonald's,McDonald's - Los Lunas,2250 Main Street Nw,Los Lunas,NM,87031,(505) 565-2107,34.817286,-106.763176
McDonald's,McDonald's - Carson City,Swc Hot Springs & College Pwky Wm 3408,Carson City,NV,89706,(775) 882-8044,39.187479,-119.757781
McDonald's,McDonald's - San Pedro,976 N Western Avenue,San Pedro,CA,90732,(310) 514-8616,33.751118,-118.308708
McDonald's,McDonald's - Hillsville,1877 Carrollton Pike,Hillsville,VA,24343,(276) 728-3384,36.74394,-80.775986
McDonald's,McDonald's - Valparaiso,2610 La Porte Ave,Valparaiso,IN,46383,(219) 548-5864,41.468017,-87.028993
McDonald's,McDonald's - West Covina,2501 South Azusa,West Covina,CA,91791,(626) 961-4828,34.031361,-117.91539
McDonald's,McDonald's - Chesapeake Beach,7925 Bayside Rd,Chesapeake Beach,MD,20732,(301) 855-4807,38.688587,-76.535592
McDonald's,McDonald's - Little Rock,14401 Arch St Pike,Little Rock,AR,72206,(501) 261-7776,34.618965,-92.314505
McDonald's,McDonald's - Erwin,529 Jonesborough Rd,Erwin,TN,37650,(423) 743-5821,36.150392,-82.417033
McDonald's,McDonald's - Chanhassen,90 Lake Dr E,Chanhassen,MN,55317-9319,(952) 934-8530,44.861148,-93.523631
McDonald's,McDonald's - Des Moines,1345 E Euclid,Des Moines,IA,50316-1259,(515) 262-4343,41.627324,-93.601428
McDonald's,McDonald's - Godfrey,5511 Godfrey Rd,Godfrey,IL,62035,(618) 466-5810,38.946904,-90.190229
McDonald's,McDonald's - Winnfield,103 Hwy 84 W,Winnfield,LA,71483,(318) 628-3134,31.925521,-92.652356
McDonald's,McDonald's - Fairmont,1000 Speedway Ave,Fairmont,WV,26554,(304) 366-5200,39.477252,-80.120529
McDonald's,McDonald's - Jefferson,2916 Jefferson Hwy,Jefferson,LA,70121-3706,(504) 833-3579,29.962518,-90.156317
McDonald's,McDonald's - New Britain,635 Hartford Road,New Britain,CT,06053-1526,(860) 521-9106,41.715673,-72.762565
McDonald's,McDonald's - Chicago,6231 N Broadway,Chicago,IL,60660-1902,(773) 743-1316,41.995575,-87.659997
McDonald's,McDonald's - Port Richey,8527 Us 19 N,Port Richey,FL,34668,(727) 848-3997,28.281591,-82.717366
McDonald's,McDonald's - Malone,3375 State Route 11,Malone,NY,12953,(518) 483-7520,44.848343,-74.313609
McDonald's,McDonald's - Washington,2328 Georgia Ave Nw,Washington,DC,20001,(202) 387-2111,38.920612,-77.022295
McDonald's,McDonald's - Coon Rapids,3080 Coon Rapids Blvd,Coon Rapids,MN,55433-3474,(763) 422-9218,45.174244,-93.346214
McDonald's,McDonald's - Monterey Park,950 W Floral Dr,Monterey Park,CA,91754-6203,(323) 262-1232,34.039829,-118.144348
McDonald's,McDonald's - Milford,120 S Milford Rd,Milford,MI,48381-2741,(248) 676-2450,42.581921,-83.611923
McDonald's,McDonald's - Gary,1527 W 5th Ave,Gary,IN,46402,(219) 885-2299,41.601627,-87.356171
McDonald's,McDonald's - Sloatsburg,Ny State Turnpike Mile Post 33 S,Sloatsburg,NY,10974,(845) 753-2073,41.153071,-74.189734
McDonald's,McDonald's - Bay City,5111 Mckinaw Road,Bay City,MI,48706,(989) 684-1214,43.592813,-83.991831
McDonald's,McDonald's - Alameda,715 Central Ave,Alameda,CA,94501-3818,(510) 865-0200,37.771774,-122.276077
McDonald's,McDonald's - University Place,3802 Bridgeport Way W,University Place,WA,98466-4416,(253) 565-0747,47.222105,-122.537484
McDonald's,McDonald's - Saginaw,5321 Blue Mound Rd,Saginaw,TX,76106,(817) 625-6441,32.840247,-97.343662
McDonald's,McDonald's - Edenton,310 Virginia Rd,Edenton,NC,27932,(252) 482-8072,36.07323,-76.611313
McDonald's,McDonald's - Hammond,3009 Hwy 190 W,Hammond,LA,70401,(985) 542-0568,30.503951,-90.496449
McDonald's,McDonald's - Liverpool,3869 Route 31,Liverpool,NY,13090,(315) 622-3534,43.185896,-76.246246
McDonald's,McDonald's - Pleasant Hill,1690 Contra Costa Blvd,Pleasant Hill,CA,94523,(925) 356-8818,37.953545,-122.0597
McDonald's,McDonald's - Kingston,1232 Ulster Ave,Kingston,NY,12401,(845) 336-2100,41.967094,-73.988571
McDonald's,McDonald's - Hendersonville,5775 Asheville Hwy,Hendersonville,NC,28791,(828) 684-3931,35.395655,-82.506315
McDonald's,McDonald's - Saginaw,7778 Gratiot Ave,Saginaw,MI,48609-5017,(989) 781-0910,43.416461,-84.067278
McDonald's,McDonald's - Layton,1155 N Hillfield Rd,Layton,UT,84041-4845,(801) 544-5393,41.076788,-111.974201
McDonald's,McDonald's - Cary,869 E Maynard Rd,Cary,NC,27511,(919) 467-3883,35.776461,-78.76474
McDonald's,McDonald's - Honolulu,2121 N Nimitz Hwy,Honolulu,HI,96819,(808) 832-0740,21.327114,-157.886055
McDonald's,McDonald's - Fresno,3237 W Shaw Ave,Fresno,CA,93711-3225,(559) 225-2870,36.807881,-119.849869
McDonald's,McDonald's - San Jose,163 Branham Ln,San Jose,CA,95136-2300,(408) 972-2168,37.266437,-121.832239
McDonald's,McDonald's - Beach Park,39082 N Sheridan Rd,Beach Park,IL,60099-3787,(847) 746-8430,42.429313,-87.826335
McDonald's,McDonald's - Rural Retreat,4153 Blacklick Rd,Rural Retreat,VA,24368,(276) 686-5562,36.91457,-81.272958
McDonald's,McDonald's - Waddy,1940 Waddy Road,Waddy,KY,40076,(502) 829-5050,38.151414,-85.069615
McDonald's,McDonald's - El Paso,9441 Alameda Ave,El Paso,TX,79907,(915) 859-4026,31.682848,-106.311586
McDonald's,McDonald's - Tampa,6013 E Dr Martin Luther,Tampa,FL,33619,(813) 621-5961,27.981066,-82.386834
McDonald's,McDonald's - Madison,8841 Madison Blvd,Madison,AL,35758,(256) 772-0099,34.677215,-86.748785
McDonald's,McDonald's - Portland,3208 Nw Yeon,Portland,OR,97210-1524,(503) 223-9235,45.545702,-122.706105
McDonald's,McDonald's - Rochester,1571 Ridge Rd E,Rochester,NY,14621,(585) 266-0109,43.199076,-77.575076
McDonald's,McDonald's - Gonzalez,1610 Highway 29s,Gonzalez,FL,32533,(850) 937-6771,30.578737,-87.294858
McDonald's,McDonald's - Redwood City,185 Chestnut St,Redwood City,CA,94063-2105,(650) 364-5316,37.479259,-122.224258
McDonald's,McDonald's - Granbury,1101 S Morgan,Granbury,TX,76048-2814,(817) 573-0206,32.432178,-97.793633
McDonald's,McDonald's - Colleyville,5609 Colleyville Blvd,Colleyville,TX,76034,(817) 656-4100,32.890322,-97.148681
McDonald's,McDonald's - Rosemont,6150 N River Rd,Rosemont,IL,60018,(847) 825-3100,41.990426,-87.860457
McDonald's,McDonald's - Tarboro,1500 Western Blvd,Tarboro,NC,27886,(252) 823-0966,35.902921,-77.562384
McDonald's,McDonald's - Prairie Du Chien,602 S Marquette Rd,Prairie Du Chien,WI,53821-2124,(608) 326-4415,43.045081,-91.140425
McDonald's,McDonald's - Leawood,4600 W 119th St,Leawood,KS,66209,(913) 339-9303,38.913476,-94.639159
McDonald's,McDonald's - Montgomery,2750 Taylor Rd,Montgomery,AL,36117,(334) 270-9878,32.339669,-86.180018
McDonald's,McDonald's - Miami,1020 W Flagler St,Miami,FL,33130,(305) 545-7788,25.773374,-80.211831
McDonald's,McDonald's - Spring Valley,106 Rt 59,Spring Valley,NY,10977,(845) 356-5520,41.106968,-74.035484
McDonald's,McDonald's - Jackson,2455 College Ave,Jackson,AL,36545-2458,(251) 246-5044,31.536281,-87.888885
McDonald's,McDonald's - Chandler,5900 W Chandler Blvd,Chandler,AZ,85226,(480) 961-3050,33.305794,-111.945084
McDonald's,McDonald's - Clayton,201 Chechero St,Clayton,GA,30525,(706) 782-5313,34.875579,-83.398982
McDonald's,McDonald's - Chicago,645 N Mcclurg Ct,Chicago,IL,60611-3000,(312) 944-5665,41.893979,-87.617628
McDonald's,McDonald's - Festus,515 S Truman,Festus,MO,63028,(636) 931-2797,38.215272,-90.388094
McDonald's,McDonald's - Memphis,1610 Sycamore View,Memphis,TN,38134-7310,(901) 383-8999,35.169445,-89.864897
McDonald's,McDonald's - Princeton,2001 W Broadway,Princeton,IN,47670-1084,(812) 385-5296,38.354779,-87.592073
McDonald's,McDonald's - Marietta,3010 Canton Rd,Marietta,GA,30066,(770) 428-1982,34.024632,-84.528221
McDonald's,McDonald's - Midlothian,13170 Midlothian Tpke,Midlothian,VA,23113,(804) 794-4925,37.503064,-77.641253
McDonald's,McDonald's - Centralia,500 E Hwy 22,Centralia,MO,65240,(573) 682-2683,39.218371,-92.133267
McDonald's,McDonald's - Chester,431 Carolina Ave,Chester,WV,26034-1129,(304) 387-1090,40.613129,-80.563522
McDonald's,McDonald's - Pine Bluff,3610 Camden Rd,Pine Bluff,AR,71603,(870) 879-1257,34.192959,-92.061474
McDonald's,McDonald's - Lincoln,2641 Ticonderoga Drive,Lincoln,NE,68521,(402) 435-5444,40.858632,-96.682659
McDonald's,McDonald's - Jonesville,I 77 & Nc 67,Jonesville,NC,28642,(336) 526-4308,36.239631,-80.820957
McDonald's,McDonald's - Hartsdale,407 N Central Park Ave,Hartsdale,NY,10530,(914) 948-5507,41.031704,-73.788023
McDonald's,McDonald's - Cambridge,2351 E Wheeling Ave,Cambridge,OH,43725-2164,(740) 432-7682,40.029194,-81.565575
McDonald's,McDonald's - Morgantown,19 Commerce Dr,Morgantown,WV,26501,(304) 296-8222,39.63043,-79.984343
McDonald's,McDonald's - Daingerfield,607 Linda Dr,Daingerfield,TX,75638,(903) 645-2933,33.028849,-94.72078
McDonald's,McDonald's - Clarksville,3078 Wilma Rudolph Blvd,Clarksville,TN,37040-5005,(931) 647-8626,36.596285,-87.287348
McDonald's,McDonald's - Westland,38418 Ford Rd,Westland,MI,48185,(734) 729-0790,42.324303,-83.418823
McDonald's,McDonald's - Las Vegas,7662 W Lake Mead,Las Vegas,NV,89128,(702) 228-2203,36.196608,-115.261787
McDonald's,McDonald's - Kerrville,1308 Junction Hwy,Kerrville,TX,78028,(830) 895-7707,30.062794,-99.171041
McDonald's,McDonald's - Demopolis,1111 Walnut St,Demopolis,AL,36732,(334) 289-3069,32.503738,-87.837955
McDonald's,McDonald's - Gardena,850 W Rosecrans Ave,Gardena,CA,90247,(310) 538-3279,33.901595,-118.290919
McDonald's,McDonald's - Las Vegas,5200 S Fort Apache,Las Vegas,NV,89148,(702) 367-3250,36.094154,-115.293885
McDonald's,McDonald's - Louisville,3820 Ruckriegel Parkway,Louisville,KY,40299,(502) 261-9939,38.188963,-85.565686
McDonald's,McDonald's - Oklahoma City,7401 S Choctaw Road,Oklahoma City,OK,73020,(405) 391-3305,35.39538,-97.266335
McDonald's,McDonald's - Cinnaminson,100 Rt 130 N,Cinnaminson,NJ,8077,(856) 303-2280,39.988769,-75.007545
McDonald's,McDonald's - Trenton,2038 Highway 45 Bypass,Trenton,TN,38382,(731) 855-9559,35.967252,-88.931136
McDonald's,McDonald's - Hartford,170-176 Washington St,Hartford,CT,6106,(860) 560-2292,41.757247,-72.681945
McDonald's,McDonald's - Chicago,4334 West 26th Street,Chicago,IL,60623,(773) 762-9211,41.844364,-87.732257
McDonald's,McDonald's - Goodyear,1100 N Estrella Pkwy  Wm  5369,Goodyear,AZ,85339,(623) 932-0131,33.459406,-112.395282
McDonald's,McDonald's - Decatur,4030 East Boyd Road,Decatur,IL,62521,(217) 872-1974,39.907545,-88.895524
McDonald's,McDonald's - Sinton,13888 Fm 1945,Sinton,TX,78387,(361) 364-9230,28.012437,-97.532587
McDonald's,McDonald's - Atlanta,443 Moreland Ave,Atlanta,GA,30316,(404) 635-0700,33.741796,-84.349587
McDonald's,McDonald's - Lubbock,4220 98th Street,Lubbock,TX,79423,(806) 698-6734,33.504901,-101.903096
McDonald's,McDonald's - Phoenix,1532 N 51st Ave,Phoenix,AZ,85043-1777,(602) 484-0240,33.465237,-112.169735
McDonald's,McDonald's - Milwaukee,617 W Oklahoma,Milwaukee,WI,53215-4717,(414) 482-3336,42.988038,-87.919835
McDonald's,McDonald's - Warren,30837 Schoenherr Road,Warren,MI,48093-6857,(586) 751-0270,42.52066,-82.988815
McDonald's,McDonald's - Knightdale,7141 Knightdale Blvd,Knightdale,NC,27545,(919) 266-6700,35.798852,-78.488574
McDonald's,McDonald's - Warrensburg,311 E Young,Warrensburg,MO,64093-1209,(660) 747-2023,38.771439,-93.734173
McDonald's,McDonald's - Staten Island,3267 Richmond Ave,Staten Island,NY,10312,(718) 948-3800,40.559681,-74.168177
McDonald's,McDonald's - Lilburn,3015 Five Forks Trickum Rd,Lilburn,GA,30047,(770) 979-5332,33.886429,-84.060989
McDonald's,McDonald's - Angola,3021 W Maumee,Angola,IN,46703,(260) 665-2386,41.634471,-85.043885
McDonald's,McDonald's - Houston,10415 Bissonnet Street,Houston,TX,77099,(281) 495-0560,29.6741,-95.561339
McDonald's,McDonald's - Franklin,1299 Hwy 96 E,Franklin,TN,37064,(615) 790-7019,35.915952,-86.829192
McDonald's,McDonald's - New Orleans,3025 Elysian Fields Ave,New Orleans,LA,70122-3626,(504) 948-8666,29.98955,-90.05784
McDonald's,McDonald's - Pasadena,1300 S Richey,Pasadena,TX,77502-1100,(713) 472-5313,29.690287,-95.220145
McDonald's,McDonald's - Waco,4330 Franklin Avenue,Waco,TX,76710,(254) 776-8406,31.522854,-97.167729
McDonald's,McDonald's - Gordonsville,11445 James Madison Hwy,Gordonsville,VA,22942,(434) 589-6753,37.973692,-78.215496
McDonald's,McDonald's - O'Fallon,1001 N Main St,O'Fallon,MO,63366,(636) 978-3649,38.822015,-90.70025
McDonald's,McDonald's - Roswell,1804 S Main St,Roswell,NM,88203,(575) 625-8799,33.370233,-104.523719
McDonald's,McDonald's - Orange Park,5000 Us Highway 17,Orange Park,FL,32003,(904) 278-8481,30.102837,-81.711679
McDonald's,McDonald's - Mundelein,450 Town Line Rd,Mundelein,IL,60060,(847) 949-1590,42.240558,-87.994897
McDonald's,McDonald's - Niles,2796 Robbins Ave,Niles,OH,44446-4283,(330) 544-3077,41.181788,-80.718408
McDonald's,McDonald's - Sacramento,2517 Del Paso Blvd,Sacramento,CA,95815-2510,(916) 927-1459,38.612657,-121.446978
McDonald's,McDonald's - Fairfield,699 Beck Ave,Fairfield,CA,94533,(707) 421-9137,38.249042,-122.066985
McDonald's,McDonald's - Waverly,1203 4th Stsw,Waverly,IA,50677,(319) 352-6977,42.713566,-92.474982
McDonald's,McDonald's - Temple City,9831 E Las Tunas Dr,Temple City,CA,91780-2209,(626) 292-1711,34.107838,-118.055527
McDonald's,McDonald's - Deerfield,50 S Waukegan Rd,Deerfield,IL,60015-5216,(847) 945-2112,42.154182,-87.837123
McDonald's,McDonald's - Des Plaines,1101 Oakton Street,Des Plaines,IL,60018,(847) 297-5630,42.023469,-87.897032
McDonald's,McDonald's - Lakeland,1715 Bartow Road,Lakeland,FL,33801,(863) 688-9200,28.022972,-81.924537
McDonald's,McDonald's - Sunnyvale,556 E El Camino Real,Sunnyvale,CA,94086,(408) 736-5091,37.362938,-122.027153
McDonald's,McDonald's - North Syracuse,3806 Brewerton Rd,North Syracuse,NY,13212,(315) 458-1600,43.11894,-76.14312
McDonald's,McDonald's - Shinnston,Route 19,Shinnston,WV,26431,(304) 592-5272,39.376901,-80.310428
McDonald's,McDonald's - Mcalester,Mile Marker 66 Indian Nation Turnpike,Mcalester,OK,74501,(918) 426-4788,34.907192,-95.825583
McDonald's,McDonald's - Hope Hull,40 Wasden Rd,Hope Hull,AL,36043,(334) 280-4790,32.270503,-86.357269
